file	aws	azure	google	ibm	nemo	rev	whisper	whispercpp	nsp	snr	unintelligible
bromige2	1.7	1.9	1.5	3.0	0.7	0.8	0.9	0.8	1	25.3	6
bromige3	9.0	7.4	4.7	12.5	4.4	4.9	3.6	4.3	1	18.58	1
bromige4	3.4	5.1	4.3	7.9	2.5	3.0	3.0	3.2	1	1.23	10
brown	2.7	2.8	4.7	4.9	2.0	3.6	3.2	3.0	1	16.59	11
browne	4.6	5.6	5.2	8.3	5.2	4.9	4.5	5.1	1	7.83	24
clay	3.5	3.2	4.1	5.4	3.5	5.4	2.8	3.2	3	14.08	39
conrad	4.3	4.9	4.9	7.8	3.1	4.5	3.7	4.0	1	17.98	10
coolidge	3.5	4.1	4.1	5.3	3.6	3.5	2.6	3.1	1	18.33	6
corrigan	4.9	5.3	5.7	7.2	3.9	4.3	4.2	4.0	2	2.72	18
darragh	3.9	3.4	4.6	4.6	3.6	3.7	2.7	3.3	2	15.51	14
davies	3.3	3.7	2.3	5.9	3.4	2.1	2.7	2.3	1	15.27	4
dipalma	3.1	4.2	2.8	6.1	2.2	2.1	2.7	1.3	2	6.78	19
donovan	4.3	4.9	4.4	9.4	3.6	3.1	2.7	2.5	2	18.1	6
dorn	3.6	3.4	3.5	6.6	2.9	3.6	1.2	1.8	1	19.38	2
drucker1	3.6	3.7	4.2	6.0	2.7	3.2	2.5	3.1	1	6.85	8
drucker2	3.4	3.9	4.7	6.1	2.1	3.7	2.3	3.3	1	9.04	3
duncan1	7.3	8.6	7.9	11.3	5.1	7.8	7.0	7.9	1	2.74	30
duncan2	8.5	6.5	7.0	11.1	4.3	7.1	4.8	5.0	4	15.76	28
duncan3	13.8	11.3	10.7	14.1	10.6	11.8	11.5	10.4	3	7.51	168
duplessis1	2.1	2.8	1.8	3.6	1.7	1.4	1.1	2.1	1	12.8	2
duplessis2	2.2	1.9	2.6	5.1	1.5	1.5	1.3	1.1	1	9.69	2
duplessis3	5.1	5.7	7.0	10.9	5.9	5.6	3.9	4.3	1	15.17	9
dworkin	5.5	3.8	5.3	6.3	2.6	5.3	4.0	4.2	1	24.61	16
fiedler	2.5	2.8	2.5	5.7	1.9	2.1	1.6	1.4	1	4.1	5
foster	5.0	6.3	5.8	6.9	3.8	4.6	3.9	4.5	1	14.73	9
fuchs	5.1	5.1	6.7	6.9	4.4	5.2	3.4	5.6	1	23.63	7
garrison	4.3	3.9	4.5	6.0	2.7	4.4	2.9	3.6	2	24.49	13
ginsberg	14.3	13.9	15.1	22.7	14.5	12.1	13.6	14.0	3	5.24	167
gladman	1.8	1.5	2.2	3.6	1.5	1.8	1.0	1.1	1	22.4	2
greenwald	3.0	3.9	3.0	5.1	1.8	3.0	2.3	2.5	1	17.68	7
halpern	2.8	2.1	2.8	5.2	2.1	2.4	2.0	1.8	1	20.16	2
halsey	10.2	8.0	8.6	13.9	6.3	8.8	6.6	8.0	1	15.83	26
hawkins	2.1	2.4	3.2	2.8	1.1	2.5	1.5	2.2	1	9.57	4
howe1	4.3	3.3	3.2	8.0	3.0	2.9	2.8	2.4	1	15.13	8
howe2	6.7	6.3	6.3	12.0	4.6	5.3	4.2	4.8	1	20.98	14
howe3	7.6	7.5	7.3	10.3	7.1	8.8	8.3	6.2	5	3.79	118
jarnot	3.5	2.9	2.8	7.6	2.4	1.7	1.3	2.4	1	22.95	13
joris	17.1	16.2	15.9	8.0	15.6	14.8	14.9	15.7	1	7.42	120
kimmelman	2.5	1.7	2.5	3.6	1.2	2.5	2.0	2.2	2	21.56	7
kinsella	9.7	10.5	11.7	19.6	8.9	9.2	6.4	8.0	1	9.61	18
kyger	13.7	14.2	13.2	16.5	15.0	13.9	16.0	13.7	5	-8.21	173
lauterbach1	5.1	4.2	4.5	7.2	3.1	4.8	2.6	3.5	1	15.01	9
lauterbach2	3.1	3.4	4.3	5.7	2.7	4.6	3.0	2.9	1	6.7	10
levy	4.7	4.7	5.4	7.7	4.5	4.8	3.9	4.7	1	6.09	22
mirakove	4.4	4.0	5.1	5.7	3.4	3.6	3.3	3.8	1	15.91	13
moore	2.9	3.7	4.0	6.9	2.9	3.2	2.6	2.9	1	14.41	7
moxley	9.1	11.8	9.8	18.4	7.4	8.4	9.1	8.6	1	-0.39	33
oppen	11.5	13.1	12.1	17.7	10.4	10.6	10.3	10.4	1	-0.12	73
phillytalks1	5.1	4.4	4.6	7.6	3.6	5.1	4.3	4.8	4	5.58	24
phillytalks10	4.7	5.9	4.2	6.7	3.0	2.9	3.5	3.3	2	19.39	9
phillytalks3	4.5	4.5	4.7	6.6	3.1	4.0	2.0	2.7	2	10.56	32
phillytalks5	2.7	2.0	1.9	3.1	1.5	2.6	1.6	1.9	3	20.13	19
piombino	2.7	2.0	2.8	4.5	1.2	3.3	2.4	2.3	1	10.42	6
poemtalk	3.7	4.1	4.5	6.5	3.8	4.1	3.2	2.8	4	20.0	38
raworth	9.4	9.3	11.3	15.2	11.3	10.4	9.1	9.0	1	16.69	64
retalack	10.9	9.6	9.3	15.0	8.5	6.7	7.0	7.9	7	8.93	61
reznikoff	4.5	3.4	4.7	7.8	2.5	3.2	2.5	2.0	1	11.04	19
richards	3.1	3.1	2.2	7.4	0.6	1.9	1.5	2.3	1	28.17	10
robinson1	1.7	1.8	2.7	3.3	1.1	1.3	0.9	1.7	1	20.75	9
robinson2	2.8	2.0	2.0	2.8	1.0	2.3	1.6	1.7	1	23.22	6
robinson3	2.3	1.6	2.4	3.4	1.7	1.9	1.6	1.9	1	24.18	8
rothenberg	4.8	4.0	5.3	7.5	3.2	4.8	3.8	5.0	4	22.4	16
scalapino1	2.9	3.3	2.7	6.7	2.5	2.5	2.5	2.9	1	7.21	16
scalapino2	6.4	3.8	5.7	7.2	4.6	5.1	5.3	5.6	4	11.19	53
sherlock	3.9	4.1	4.6	5.4	3.1	4.3	4.3	4.7	1	22.44	9
silliman1	2.5	2.5	2.8	4.9	1.4	2.6	1.7	1.4	3	16.0	5
silliman2	6.6	6.1	6.6	11.1	3.9	5.7	4.4	5.0	1	10.34	19
silliman3	5.2	5.8	5.7	8.5	3.4	5.2	3.8	4.0	1	14.18	14
smith	4.2	4.4	3.9	5.7	2.6	3.0	2.6	2.9	1	14.96	22
spahr	4.8	3.8	4.5	5.3	2.6	3.8	3.1	3.2	1	15.53	2
sze	4.9	3.4	4.1	7.3	2.7	3.8	2.1	2.4	1	16.57	15
templeton	7.0	6.9	7.1	11.3	8.0	7.4	6.0	6.0	2	10.97	73
torres	10.4	9.8	9.2	14.4	9.5	10.2	8.7	9.5	2	15.3	107
towle	5.2	5.0	5.6	9.3	4.2	4.4	3.8	4.2	1	6.3	12
wisher	3.8	3.7	4.4	5.8	3.7	4.6	3.3	3.6	1	22.98	6
yau	4.3	3.8	5.5	8.5	2.5	3.4	2.5	3.5	1	18.16	7
